brand,name,link,price,80PLUS,form factor,depth,modular,EPS8pin,OEM,platform,pcb,primary topology,primary cap(s) brand,secondary side topology,secondary electrolytic caps brand,secondary solid caps brand,modular board caps,fan,fanless mode,note,review/image_1,review/image_2,review/image_3,review/image_4
Cooler Master,MasterWatt 450 MPX-4501-AMAAB-JP,https://kakaku.com/item/K0001010188/,"¥5,880",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Teapo 85c,Synchronous Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907002561,https://www.computerbase.de/2018-03/cooler-master-masterwatt-enermax-revobron-netzteil-test/2/,https://nl.hardware.info/product/411277/cooler-master-masterwatt-450w,-,-
Cooler Master,MasterWatt 550 TUF Gaming Edition MPX-5501-AMAAB-JF,https://kakaku.com/item/K0001083772/,"¥6,464",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,unknown 85c,Synchronous Rectification + DC/DC,? TEAPO 105c,? FPCAP,? TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907002585,https://www.pcgameshardware.de/Netzteil-Hardware-219902/Tests/Cooler-Master-Masterwatt-550-Review-1246492/,-,-,-
Cooler Master,MasterWatt 650 MPX-6501-AMAAB-JP,https://kakaku.com/item/K0001010190/,"¥7,799",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Teapo 85c,Synchronous Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907006836,https://www.kitguru.net/components/power-supplies/zardon/cooler-master-masterwatt-650-power-supply-review/4/,https://pcper.com/2018/10/cooler-master-masterwatt-650w-power-supply-review/3/,-,-
Cooler Master,MasterWatt 750 MPX-7501-AMAAB-JP,https://kakaku.com/item/K0001010191/,"¥8,788",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Elite 85c,Synchronous Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907006836,http://www.f14lab.com/2017/12/review-cooler-master-master-watt-750.html,https://i2hard.ru/publications/22367/,https://www.pctekreviews.com/Reviews/CMMPX750.aspx,-
COOLER MASTER,MWE 450 Bronze-V2 MPE-4501-ACAAB-JP,https://kakaku.com/item/K0001217996/,"¥5,240",Bronze,ATX,140,fixed,x1,Gospower,unknown,single sided,half-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,CapXon,n/a,DF1202512SELN,yes,https://ru.gecid.com/power/cooler_master_mwe_bronze_650/,-,-,-,-
COOLER MASTER,MWE 550 Bronze-V2 MPE-5501-ACAAB-JP,https://kakaku.com/item/K0001217997/,"¥5,400",Bronze,ATX,140,fixed,x1,Gospower,unknown,single sided,half-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,CapXon,n/a,DF1202512SELN,yes,https://ru.gecid.com/power/cooler_master_mwe_bronze_650/,ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_Jv8.pdf,-,-,-
Cooler Master,MWE Bronze 450 MPX-4501-ACAAB-JP,https://kakaku.com/item/K0001010185/,"¥4,620",Bronze,ATX,140,fixed,x1,HEC,(MasterWatt),single sided,half-bridge LLC,? Elite 85c,Synchronous Rectification + DC/DC,? TEAPO 105c,? FPCAP,n/a,CM Silencio FP DF1202512RFLN,yes,3C認証：2017010907002561,-,-,-,-
Cooler Master,MWE Bronze 650 MPX-6501-ACAAB-JP,https://kakaku.com/item/K0001010187/,"¥8,561",Bronze,ATX,140,fixed,x1,HEC,(MasterWatt),single sided,half-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,TEAPO 105c,FPCAP,n/a,CM Silencio FP DF1202512RFLN,yes,3C認証：2017010907006836,http://www.f14lab.com/2017/12/review-cooler-master-mwe-bronze-650-650w.html,https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=241705&p=632368,-,-
Cooler Master,MWE Gold 550 Full Modular MPY-5501-AFAAG,https://kakaku.com/item/K0001082222/,"¥8,452",Gold,ATX,160,full,x1,XinHuiYuan(鑫暉源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,Elite electrolytic?,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn,https://ru.gecid.com/power/cooler_master_mwe_gold_550/,-,-
Cooler Master,MWE Gold 550 MPY-5501-ACAAG,https://kakaku.com/item/K0001083422/,"¥6,905",Gold,ATX,140,fixed,x1,XinHuiYuan(鑫暉源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,12KuangJin 105c,FPCAP,n/a,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://www.%65xpreview.com/58307-all.html,-,-,-
Cooler Master,MWE Gold 750 Full Modular MPY-7501-AFAAG,https://kakaku.com/item/K0001082221/,"¥9,630",Gold,ATX,160,full,x1,XinHuiYuan(鑫暉源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,Elite electrolytic,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn,https://gnd-tech.com/2018/11/cooler-master-mwe-gold-750-power-supply-review/,https://pcper.com/2019/01/cooler-master-mwe-gold-750w-full-modular-power-supply-review/3/,-
Cooler Master,MWE Gold 750 MPY-7501-ACAAG,https://kakaku.com/item/K0001083421/,"¥9,511",Gold,ATX,140,fixed,x1,XinHuiYuan(鑫暉源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,n/a,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://proclockers.com/reviews/power-supplies/cooler-master-mwe-gold-series-750w-power-supplies-review/page/0/4,-,-,-
Corsair,CX450M CP-9020101-JP,https://kakaku.com/item/K0000866469/,"¥4,879",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,https://nl.hardware.info/artikel/6952/corsair-cx450m-review-aardige-budgetvoeding,https://tweakers.net/productreview/136105/corsair-cx450m.html,-,-
Corsair,CX550M CP-9020102-JP,https://kakaku.com/item/K0000866468/,"¥6,105",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,https://www.hardwareinsights.com/corsair-cx550m-farewell-group-design/4/,https://egg.5ch.net/test/read.cgi/jisaku/1553903091/293,-,-
Corsair,CX650M CP-9020103-JP,https://kakaku.com/item/K0000866467/,"¥6,486",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,"https://www.tomshardware.com/reviews/corsair-cx650m-psu,4770-3.html",-,-,-
Corsair,VS450 CP-9020170-JP,https://kakaku.com/item/K0001035636/,"¥5,575",Standard,ATX,125,fixed,x1,HEC,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907019523,https://www.computerbase.de/2019-05/corsair-vs450-test-kleines-atx-netzteil/,-,-,-
Corsair,VS550 CP-9020171-JP,https://kakaku.com/item/K0001035637/,"¥6,968",Standard,ATX,125,fixed,x1,HEC,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907018978,-,-,-,-
Corsair,VS650 CP-9020172-JP,https://kakaku.com/item/K0001035638/,"¥8,077",Standard,ATX,125,fixed,x1,HEC,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907018978,"https://www.tomshardware.com/reviews/corsair-vs650-psu,6017.html",-,-,-
ENERMAX,RevoBron ERB500AWT,https://kakaku.com/item/K0001007783/,"¥9,980",Bronze,ATX,140,semi,x1,CWT,CWT CSB,single sided,double forward,japanese 105c + 85c(105c?),Synchronous Rectification + DC/DC,chemi-con 105c,Elite/APAQ,n/a,Enermax ED122512M-FD,n/a,-,https://web.archive.org/web/20190101162551/http://hardwareoverclock.com/Enermax-RevoBron-600-Watt-Netzteil-3.htm,http://www.jonnyguru.com/forums/showthread.php?14826-Enermax-Introduces-RevoBron-PSU-Line/page2,https://www.computerbase.de/2018-03/cooler-master-masterwatt-enermax-revobron-netzteil-test/2/,-
ENERMAX,RevoBron ERB600AWT,https://kakaku.com/item/K0001007784/,"¥9,616",Bronze,ATX,140,semi,x1,CWT,CWT CSB,single sided,double forward,japanese 105c + 85c(105c?),Synchronous Rectification + DC/DC,chemi-con 105c,Elite/APAQ,n/a,Enermax ED122512M-FD,n/a,-,https://www.overclockers.ua/power/enermax-revobron-erb600awt/,https://www.noticias3d.com/articulo.asp?idarticulo=2506&pag=2,https://i2hard.ru/publications/22500/,-
ENERMAX,RevoBron TGA ERB500AWT TR,https://kakaku.com/item/K0001115461/,"¥7,980",Bronze,ATX,140,semi,x1,CWT,CWT CSB,single sided,double forward,japanese 105c + 85c(105c?),Synchronous Rectification + DC/DC,chemi-con 105c,Elite/APAQ,n/a,Enermax ED122512M-FD,n/a,-,https://nl.hardware.info/product/487443/enermax-revobron-tga-500w,-,-,-
ENERMAX,RevoBron TGA ERB600AWT TR,https://kakaku.com/item/K0001115460/,"¥8,680",Bronze,ATX,140,semi,x1,CWT,CWT CSB,single sided,double forward,japanese 105c + 85c(105c?),Synchronous Rectification + DC/DC,chemi-con 105c,Elite/APAQ,n/a,Enermax ED122512M-FD,n/a,-,https://www.hardwareluxx.ru/index.php/artikel/hardware/netzteile/46181-enermax-revobron-600w-tga-edition-test.html?start=1,-,-,-
ENERMAX,RevoBron TGA ERB700AWT TR,https://kakaku.com/item/K0001115459/,"¥9,479",Bronze,ATX,140,semi,x1,CWT,CWT CSB,single sided,double forward,japanese 105c + 85c,Synchronous Rectification + DC/DC,chemi-con 105c,Elite/APAQ,n/a,Enermax ED122512H-FD,n/a,-,https://www.techpowerup.com/review/enermax-erb700awt/,-,-,-
ENERMAX,Revolution DUO ERD500AWL-F,https://kakaku.com/item/K0000931692/,"¥7,030",Gold,ATX,140,fixed,x1,Yue-Lin,unknown,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,Teapo 105c,Teapo,n/a,Enermax ED1002512L-OA + ED0801512L-OA,n/a,-,https://hlamer.ru/video/742395-Enermax_REVOLUTION_DUO_500_watt_Obzor_s_razborom,-,-,-
ENERMAX,Revolution DUO ERD600AWL-F,https://kakaku.com/item/K0000931693/,"¥7,137",Gold,ATX,140,fixed,x1,Yue-Lin,unknown,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,Teapo 105c,Teapo,n/a,Enermax ED1002512L-OA + ED0801512L-OA,n/a,-,-,-,-,-
ENERMAX,Revolution DUO ERD700AWL-F,https://kakaku.com/item/K0000931694/,"¥8,177",Gold,ATX,140,fixed,x1,Yue-Lin,unknown,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,Teapo 105c,Teapo,n/a,Enermax ED1002512L-OA + ED0801512L-OA,n/a,-,https://www.hardocp.com/article/2017/02/21/enermax_revolution_duo_700w_power_supply_review/3,https://www.overclockers.ua/power/enermax-erd700awl-f/,-,-
Enhance,FLEX 350 ENP7135B-24YGF,https://kakaku.com/item/K0000785821/,"¥8,818",Gold,Flex ATX,81.5,fixed,-,Enhance,Enhance ENP7100,unknown,unknown,unknown,unknown,unknown,unknown,n/a,unknown,n/a,-,-,-,-,-
FSP,AURUM 92+ 550 PT-550M,https://kakaku.com/item/K0000464414/,"¥9,083",Platinum,ATX,159,semi,x1,FSP,FSP Aurum 92+ ,double sided,Active-Clamp,Panasonic 105c,Synchronous Rectification + DC/DC,chemi-con 105c,n/a,n/a,PROTECHNIC MGA12012HF-A25,n/a,-,https://www.59hardware.net/articles/alimentations/alimentation-fsp-aurum-92%2B-550-w-2014082516389/all.html,https://nl.hardware.info/product/239405/fsp-aurum-92+-550w#reviews,-,-
FSP,AURUM 92+ 650 PT-650M,https://kakaku.com/item/K0000464415/,"¥9,758",Platinum,ATX,159,semi,x1,FSP,FSP Aurum 92+ ,double sided,Active-Clamp,chemi-con 105c,Synchronous Rectification + DC/DC,chemi-con 105c,n/a,n/a,PROTECHNIC MGA12012HF-A25,n/a,-,https://www.hardwaresecrets.com/fsp-aurum-92-650-w-power-supply-review/5/,https://www.techpowerup.com/review/fsp-aurum-92-650w/4.html,https://www.tweaktown.com/reviews/5142/fsp_aurum_92_pt_650m_650w_80_plus_platinum_power_supply_review/index4.html,"https://www.tomshardware.co.uk/fsp-aurum-92-650w-80-plus-platinum,review-33101.html"
FSP,AURUM S 400 AS-400,https://kakaku.com/item/K0000721805/,"¥6,602",Gold,ATX,150,fixed,x1,FSP,FSP Raider?,single sided?,Active-Clamp,Teapo 85c?,Synchronous Rectification + Group(5V/3.3V) Regulation,CapXon/Teapo 105c?,n/a,n/a,Yateloon D12SM-12?,n/a,-,https://www.cnews.cz/test-zdroju-cast-2-enermax-revolution-xt-430-w-a-fsp-aurum-s-400-w/,https://www.dospara.co.jp/monotech/news/8100.html,-,-
FSP,AURUM S 500 AS-500,https://kakaku.com/item/K0000721806/,"¥7,962",Gold,ATX,150,fixed,x1,FSP,FSP Raider?,single sided?,Active-Clamp,Teapo 85c?,Synchronous Rectification + Group(5V/3.3V) Regulation,CapXon/Teapo 105c?,n/a,n/a,Yateloon D12SM-12?,n/a,-,,,-,-
FSP,AURUM S 600 AS-600,https://kakaku.com/item/K0000721807/,"¥7,734",Gold,ATX,150,fixed,x1,FSP,FSP Raider?,single sided?,Active-Clamp,Teapo 85c?,Synchronous Rectification + Group(5V/3.3V) Regulation,CapXon/Teapo 105c?,n/a,n/a,Yateloon D12SM-12?,n/a,-,,,-,-
FSP,AURUM S 700 AS-700,https://kakaku.com/item/K0000721808/,"¥9,589",Gold,ATX,150,fixed,x1,FSP,FSP Raider?,single sided?,Active-Clamp,Teapo 85c?,Synchronous Rectification + Group(5V/3.3V) Regulation,CapXon/Teapo 105c?,n/a,n/a,Yateloon D12SM-12?,n/a,-,,,-,-
FSP,FSP300-60GHS v3.21,https://kakaku.com/item/K0000169504/,"¥4,453",Standard,SFX,100,fixed,x1,FSP,FSP SFX GHS,single sided,double forward,unknown 105c?,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,PROTECHNIC MGA8212YS-A15?,n/a,-,https://www.hardwaresecrets.com/fsp300-60ghs-power-supply-review/4/,https://www.hkepc.com/11068/SFX_%E8%A8%AD%E8%A8%88%E5%B0%8F%E5%9E%8B%E6%A9%9F%E7%AE%B1%E4%B9%8B%E9%81%B8_FSP300-60GHS_%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8,http://www.dont.ru/FSP-Group-FSP300-60GHS-OEM-12V-22A-80plus-SFX-FAN-80x80x15.id15892.html,-
FSP,FSP450-60GHS v3.21,https://kakaku.com/item/K0000169502/,"¥5,206",Bronze,SFX,100,fixed,x1,FSP,FSP SFX GHS,single sided,double forward,unknown 105c?,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,PROTECHNIC MGA8212YS-A15?,n/a,-,https://www.hkepc.com/10629/80PLUS%E9%8A%85%E7%89%8CMicro_ATX_%E8%A8%AD%E8%A8%88_FSP450-60GHS85R_%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8,https://www.techpowerup.com/forums/threads/a-peak-inside-the-fsp-450w-micro-atx-fsp450-60ghs-85-r.159878/,-,-
FSP,RAIDER II 650W RA2-650,https://kakaku.com/item/K0000984298/,"¥6,813",Silver,ATX,140,fixed,x1,FSP,FSP Raider II,single sided,Active-Clamp,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/rubycon 105c,n/a,n/a,ADDA AD1212HS-A71GL,n/a,-,https://akiba-pc.watch.impress.co.jp/docs/mreview/rental/1107692.html,-,-,-
FSP,RAIDER II 750W RA2-750,https://kakaku.com/item/K0000984299/,"¥7,285",Silver,ATX,140,fixed,x1,FSP,FSP Raider II,single sided,Active-Clamp,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/rubycon 105c,n/a,n/a,ADDA AD1212HS-A71GL,n/a,-,http://www.gdm.or.jp/review/2017/1106/239442/3,-,-,-
FSP,RAIDER RA-500B,https://kakaku.com/item/K0001099759/,"¥4,155",Bronze,ATX,140,fixed,x1,FSP,FSP Hyper,single sided,Active-Clamp,CapXon 85c,Group Regulation,CapXon/Teapo(+5VSB) 105c,n/a,n/a,n/a,n/a,-,https://value-kaden.com/ra-500b/,https://download1.getuploader.com/g/7%7Cdengensure/139/RA-500B.jpg,-,-
GAMDIAS,ASTRAPE M1-650B,https://kakaku.com/item/K0001054371/,"¥7,980",Bronze,ATX,140,fixed,x1,Andyson,(Xigmatek Marverick S),single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,JunFu 105c,n/a,n/a,POWERYEAR PY-1225H12S,n/a,-,https://akiba-pc.watch.impress.co.jp/docs/sp/1134311.html,http://www.f14lab.com/2018/12/review-gamdias-astrape-m1-80plus.html,-,-
GAMDIAS,KRATOS M1-600B,https://kakaku.com/item/K0001139417/,"¥6,887",Bronze,ATX,140,fixed,x1,Andyson?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,unknown,n/a,-,-,-,-,-
GAMDIAS,KRATOS P1-750G,https://kakaku.com/item/K0001193089/,"¥9,244",Gold,ATX,140,semi,x1,Andyson,Andyson H6?,double sided?,half-bridge LLC,unknown,Synchronous Rectification + DC/DC,unknown,unknown,n/a,unknown,n/a,-,-,-,-,-
HEC,WIN+ POWER 3s HEC-WN3S-500W,https://kakaku.com/item/K0000851707/,"¥7,574",Bronze,ATX,140,fixed,x1,HEC,(Be Quiet Pure Power L8),single sided,double forward,CapXon 85c,Passive Rectification + Group Regulation,Teapo 105c,n/a,n/a,unknown,n/a,-,https://akiba-pc.watch.impress.co.jp/docs/dosv/1005399.html#contents-section-2-4,-,-,-
HEC,WIN+ POWER 3s HEC-WN3S-600W,https://kakaku.com/item/K0000851708/,"¥8,015",Bronze,ATX,140,fixed,x1,HEC,(Be Quiet Pure Power L8),single sided,double forward,? CapXon 85c,Passive Rectification + Group Regulation,? Teapo 105c,n/a,n/a,unknown,n/a,-,-,-,-,-
IN WIN,IP-P300CN7-2-H,https://kakaku.com/item/K0000622685/,"¥9,049",Bronze,TFX,100,fixed,x1,IN WIN,unknown,single sided,unknown,unknown,unknown,unknown,unknown,unknown,unknown 80mm,n/a,-,-,-,-,-
IN WIN,IP-S300EF7-2-H,https://kakaku.com/item/K0000622684/,"¥8,100",Bronze,TFX,175,fixed,-,IN WIN,unknown,single sided,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,-,-,-,-,-
IN WIN,IP-S300FF1-0 H EM,https://kakaku.com/item/K0001004908/,"¥6,325",Not Certified,TFX,175,fixed,x1,IN WIN,unknown,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown 80mm,n/a,-,https://www.hardwareinsights.com/in-winpower-man-ip-s300ff1-0-tfx-review/3/,-,-,-
IN WIN,IP-S300FF1-0-H,https://kakaku.com/item/K0000622683/,"¥7,050",Not Certified,TFX,175,fixed,x1,IN WIN,unknown,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown 80mm,n/a,-,https://www.hardwareinsights.com/in-winpower-man-ip-s300ff1-0-tfx-review/3/,-,-,-
KEIAN,GORI-MAX3 KT-S650-12A2,https://kakaku.com/item/K0000747446/,"¥3,894",Standard,ATX,140,fixed,x1,Comstars,unknown,single sided,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,-,-,-,-,-
KEIAN,自作本舗 KT-450PS3,https://kakaku.com/item/K0000836004/,"¥3,440",Not Certified,ATX,140,fixed,x1,Comstars,unknown,single sided,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,-,-,-,-,-
KEIAN,静か Gold KT-AP600-AXG HC,https://kakaku.com/item/K0000927231/,"¥6,200",Gold,ATX,140,fixed,x1,Comstars,unknown,single sided,double forward,Teapo 105c,Passive Rectification + DC/DC,unknown,unknown,n/a,unknown,n/a,-,https://review.kakaku.com/review/K0000927231/ReviewCD=1071846/,-,-,-
RAIDMAX,Cobra Power RX-600AE-M,https://kakaku.com/item/K0001021590/,"¥6,966",Gold,ATX,163,full,x1,Andyson,(Aerocool KCAS G),single sided,double forward,? japanese 105c,? Passive Rectification + DC/DC,? Teapo 105c,unknown,n/a,? POWERYEAR PY-13525H12S,n/a,-,-,-,-,-
RAIDMAX,Cobra Power RX-800AE-M,https://kakaku.com/item/K0001021591/,"¥8,391",Gold,ATX,163,full,x1,Andyson,(Aerocool KCAS G),single sided,double forward,japanese 105c,? Passive Rectification + DC/DC,Teapo 105c,unknown,n/a,POWERYEAR PY-13525H12S,n/a,-,https://www.overclockers.ua/power/raidmax-cobra-rx-800ae/,-,-,-
RAIDMAX,Thunder RGB RX-535AP-R,https://kakaku.com/item/K0001021588/,"¥5,389",Bronze,ATX,165,semi,x1,Andyson,(Xigmatek Marverick S),single sided,double forward,? Teapo 85c,Passive Rectification + Group Regulation,? JunFu 105c,n/a,n/a,? POWERYEAR PY-13525M12S,n/a,-,-,-,-,-
RAIDMAX,Thunder RGB RX-735AP-R,https://kakaku.com/item/K0001021589/,"¥7,668",Bronze,ATX,165,semi,x1,Andyson,(Xigmatek Marverick S),single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,JunFu 105c,n/a,n/a,POWERYEAR PY-13525M12S,n/a,-,https://www.overclockers.ua/power/raidmax-thunder-rgb-rx-735ap-r/,-,-,-
